,0
0,21
1,51
2,62
3,168
4,0
5,70
6,24
7,100
8,96
9,126
10,126
11,186
12,188
13,34
14,160
15,148
16,48
17,53
18,122
19,174
20,31
21,32
22,132
23,153
24,12
25,68
26,15
27,102
28,144
29,80
30,122
31,30
32,115
33,123
34,177
35,134
36,160
37,166
38,103
39,184
40,193
41,147
42,1
43,187
44,79
45,107
46,70
47,178
48,47
49,55
50,141
51,119
52,142
53,132
54,168
55,153
56,132
57,39
58,122
59,88
60,196
61,151
62,63
63,170
64,179
65,68
66,57
67,181
68,114
69,81
70,63
71,54
72,20
73,149
74,137
75,51
76,63
77,101
78,53
79,191
80,119
81,61
82,146
83,55
84,44
85,95
86,135
87,81
88,100
89,56
90,63
91,42
92,165
93,83
94,153
95,21
96,161
97,78
98,54
99,115
100,110
101,140
102,65
103,82
104,1
105,102
106,57
107,53
108,13
109,163
110,18
111,108
112,5
113,29
114,174
115,58
116,20
117,66
118,56
119,166
120,151
121,191
122,17
123,87
124,99
125,138
126,69
127,193
128,120
129,74
130,98
131,146
132,133
133,19
134,82
135,32
136,62
137,188
138,91
139,197
140,127
141,60
142,97
143,36
144,23
145,105
146,195
147,32
148,103
149,79
150,105
151,164
152,159
153,108
154,129
155,80
156,123
157,168
158,127
159,118
160,7
161,179
162,103
163,42
164,51
165,157
166,0
167,88
168,67
169,180
170,186
171,81
172,92
173,12
174,18
175,28
176,150
177,129
178,65
179,129
180,101
181,99
182,153
183,142
184,117
185,40
186,83
187,88
188,182
189,61
190,91
191,148
192,2
193,85
194,68
195,120
196,94
197,191
198,100
199,199
200,128
201,35
202,131
203,113
204,45
205,115
206,198
207,12
208,77
209,47
210,65
211,121
212,10
213,155
214,36
215,66
216,197
217,115
218,30
219,71
220,176
221,54
222,169
223,89
224,63
225,170
226,162
227,185
228,159
229,86
230,191
231,158
232,14
233,142
234,180
235,195
236,83
237,190
238,90
239,150
240,160
241,92
242,20
243,178
244,11
245,16
246,164
247,42
248,103
249,189
250,101
251,115
252,0
253,182
254,85
255,185
256,24
257,77
258,40
259,148
260,123
261,26
262,23
263,181
264,55
265,11
266,173
267,117
268,195
269,7
270,177
271,142
272,137
273,82
274,28
275,102
276,134
277,115
278,175
279,75
280,154
281,123
282,77
283,58
284,92
285,49
286,118
287,181
288,60
289,26
290,10
291,130
292,193
293,17
294,69
295,65
296,116
297,69
298,127
299,115
300,10
301,118
302,27
303,86
304,68
305,144
306,51
307,168
308,195
309,163
310,151
311,34
312,187
313,117
314,145
315,104
316,120
317,7
318,107
319,47
320,178
321,135
322,153
323,154
324,69
325,70
326,44
327,115
328,108
329,72
330,61
331,29
332,18
333,168
334,24
335,4
336,86
337,96
338,61
339,11
340,168
341,135
342,5
343,198
344,53
345,37
346,22
347,163
348,193
349,134
350,178
351,129
352,148
353,74
354,167
355,39
